ticker,date,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
ADA,2024-03-17,0.6947,0.6288,0.6586,56267457.77,37728922.38,0.6808,direct,
ADA,2024-03-18,0.6985,0.6422,0.6808,52892834.17,35240932.97,0.6603,direct,
ADA,2024-03-19,0.6657,0.58,0.6603,89675475.47,55076485.86,0.5862,direct,
ADA,2024-03-20,0.6445,0.5691,0.5862,71829809.04,43691865.34,0.6398,direct,
ADA,2024-03-21,0.6481,0.6178,0.6398,41362550.23,26239068.02,0.6316,direct,
ADA,2024-03-22,0.6425,0.5991,0.6316,38878319.84,24001658.74,0.6148,direct,
ADA,2024-03-23,0.6393,0.6105,0.6148,20408277.31,12814566.44,0.6231,direct,
ADA,2024-03-24,0.6481,0.6226,0.6231,22921306.85,14588416.08,0.6466,direct,
ADA,2024-03-25,0.6682,0.6384,0.6466,43241022.31,28326253.44,0.6566,direct,
ADA,2024-03-26,0.6837,0.6517,0.6566,42759334.91,28488681.21,0.665,direct,
ADA,2024-03-27,0.6709,0.6301,0.665,69353140.65,44999624.86,0.6476,direct,
ADA,2024-03-28,0.6581,0.635,0.6476,32227380.04,20927960.89,0.651,direct,
ADA,2024-03-29,0.6677,0.6353,0.651,41375259.63,27010427.68,0.6645,direct,
ADA,2024-03-30,0.6696,0.642,0.6645,25405305.9,16615097.59,0.6439,direct,
ADA,2024-03-31,0.6536,0.6421,0.6439,19912284.8,12889187.95,0.65,direct,
ADA,2024-04-01,0.6515,0.6054,0.65,42039815.31,26248114.69,0.6217,direct,
ADA,2024-04-02,0.6217,0.5738,0.6217,49955564.11,29423169.49,0.5808,direct,
ADA,2024-04-03,0.5949,0.563,0.5808,31346551.53,18198047.09,0.5693,direct,
ADA,2024-04-04,0.5971,0.5593,0.5693,34647675.25,20085026.68,0.5833,direct,
ADA,2024-04-05,0.5851,0.5599,0.5833,27275105.8,15612986.65,0.5742,direct,
ADA,2024-04-06,0.5895,0.5716,0.5742,14859383.53,8638250.48,0.5837,direct,
ADA,2024-04-07,0.5971,0.5819,0.5837,19380457.72,11435707.32,0.5889,direct,
ADA,2024-04-08,0.6167,0.5794,0.5889,30416320.26,18400640.7,0.6139,direct,
ADA,2024-04-09,0.6239,0.59,0.6139,32693272.45,19803704.35,0.5911,direct,
ADA,2024-04-10,0.5938,0.5582,0.5911,36551688.07,21109860.86,0.5862,direct,
ADA,2024-04-11,0.5944,0.5755,0.5862,20403038.03,11932152.71,0.5858,direct,
ADA,2024-04-12,0.5924,0.4642,0.5858,120025183.78,62499258.66,0.503,direct,
ADA,2024-04-13,0.5165,0.403,0.503,120161567.14,55377663.5,0.4457,direct,
ADA,2024-04-14,0.4782,0.4335,0.4457,81212237.65,37117375.03,0.4682,direct,
ADA,2024-04-15,0.4955,0.4396,0.4682,72057484.52,33718496.96,0.4611,direct,
ADA,2024-04-16,0.4783,0.4397,0.4611,49608283.01,22673656.86,0.4586,direct,
ADA,2024-04-17,0.4648,0.4277,0.4586,37648548.62,16792290.46,0.4442,direct,
ADA,2024-04-18,0.4612,0.4346,0.4442,32360309.78,14558783.2,0.4583,direct,
ADA,2024-04-19,0.476,0.4233,0.4583,54252769.29,24898686.99,0.4683,direct,
ADA,2024-04-20,0.5085,0.4649,0.4683,47603350.49,23320575.83,0.5073,direct,
ADA,2024-04-21,0.5125,0.4879,0.5073,32940782.44,16538750.91,0.4992,direct,
ADA,2024-04-22,0.5226,0.4952,0.4992,41608169.62,21325826.01,0.517,direct,
ADA,2024-04-23,0.5215,0.4972,0.517,49685065.64,25340474.37,0.5,direct,
ADA,2024-04-24,0.5106,0.469,0.5,39380831.49,19273464.75,0.4746,direct,
ADA,2024-04-25,0.4796,0.4623,0.4746,30642331.55,14453155.09,0.4705,direct,
