ticker,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
ADA,365.0,0.184,6.117,-24.551,-2.388,-0.178,2.228,72.382,4.600261962636062,54.19704350699667
BNB,365.0,0.05,2.867,-8.631,-1.427,0.0,1.555,13.485,0.25793151182857765,2.130316713346424
BTC,365.0,0.102,2.76,-8.61,-1.451,0.01,1.387,11.932,0.4897595176017062,2.1052476398626454
DOGE,365.0,0.187,5.379,-16.876,-2.766,-0.135,3.103,26.837,0.7128261459228451,3.3647365910464653
ETH,365.0,-0.105,3.675,-14.731,-2.124,-0.03,1.735,19.243,0.4772804811064798,3.896917903906671
SOL,365.0,0.019,4.755,-20.537,-2.839,-0.18,2.648,24.469,0.41003841107685357,3.159817400953299
SUI,365.0,0.269,6.171,-18.065,-3.533,-0.487,3.164,38.677,1.0116156595527002,4.296820610440594
USDC,365.0,-0.0,0.01,-0.1,0.0,0.0,0.0,0.1,0.013101288812962618,47.47996562383797
USDT,365.0,0.0,0.051,-0.2,-0.02,0.0,0.01,0.16,0.0726407848738217,1.480107104815223
XRP,365.0,0.491,5.083,-18.844,-1.47,0.162,2.153,34.185,1.5366232643773274,8.780419565878994
