ticker,date,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
BNB,2023-10-25,229.1,221.57,225.24,19612.09,4422533.67,222.15,direct,
BNB,2023-10-26,227.99,194.96,222.15,26501.2,5937669.1,222.97,direct,
BNB,2023-10-27,230.4,220.4,223.25,63626.9,14273635.19,224.33,multiply,BTC
BNB,2023-10-28,227.9,224.35,224.41,13525.5,3062332.66,225.62,direct,
BNB,2023-10-29,228.27,223.71,225.62,9839.81,2224748.43,227.07,direct,
BNB,2023-10-30,229.18,225.0,227.07,14661.9,3334670.63,228.18,direct,
BNB,2023-10-31,230.13,225.73,228.15,32997.77,7469033.18,226.35,multiply,BTC
BNB,2023-11-01,228.81,222.21,226.41,19328.7,4348428.51,227.92,direct,
BNB,2023-11-02,233.67,227.42,227.92,23916.74,5516058.99,231.45,direct,
BNB,2023-11-03,232.91,227.77,231.87,40312.35,9287127.48,230.38,multiply,BTC
BNB,2023-11-04,239.5,232.13,230.38,33756.4,8009962.54,237.29,multiply,BTC
BNB,2023-11-05,245.31,236.8,237.29,58973.72,14394597.38,244.08,multiply,BTC
BNB,2023-11-06,255.69,243.17,244.08,70511.83,17996908.52,255.23,multiply,BTC
BNB,2023-11-07,258.37,245.83,255.23,52471.2,12919316.11,246.22,multiply,BTC
BNB,2023-11-08,250.32,244.3,246.22,52479.35,12947923.47,246.72,multiply,BTC
BNB,2023-11-09,254.4,243.09,246.72,77397.89,19479523.24,251.68,multiply,BTC
BNB,2023-11-10,262.03,249.87,251.68,54650.35,13730813.29,251.25,multiply,BTC
BNB,2023-11-11,255.22,246.01,251.17,22054.29,5526828.89,251.45,direct,
BNB,2023-11-12,252.0,245.58,251.45,22646.65,5615230.26,247.25,direct,
BNB,2023-11-13,250.09,240.12,247.25,26604.78,6527111.78,241.32,direct,
BNB,2023-11-14,248.29,195.76,241.32,27559.77,6699682.53,242.25,direct,
BNB,2023-11-15,266.93,252.35,242.21,74145.14,18831057.14,253.98,multiply,BTC
BNB,2023-11-16,255.53,222.43,253.92,32195.17,8009778.2,242.52,direct,
BNB,2023-11-17,245.94,238.47,242.52,22370.89,5446719.59,244.68,direct,
BNB,2023-11-18,245.17,239.4,244.68,14487.24,3519351.82,244.92,direct,
BNB,2023-11-19,246.91,241.81,244.92,11528.53,2814118.57,246.35,direct,
BNB,2023-11-20,267.21,242.17,246.54,125326.27,31736345.24,253.23,multiply,BTC
